,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
39,2023,K리그2,부산,프랭클린,FW,96,324,1,1,9,3,0,6,7,2,1,0,0,0,1,0,0.0,57,30,52.6,2,24,9,0.0,12,10,83.3,21,11,52.4,22,12,54.5,1,0,0.0,34,18,52.9,4,2,50.0,13,5,38.5,40,23,57.5,5,0,0.0,0,4,1,25.0,37,21,525.0,2,0,0.0,3,2,3,16,1,6,1,4,0,0
40,2023,K리그2,부산,강상윤,대기,55,162,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0.0,44,35,79.5,2,18,11,0.0,9,8,88.9,17,16,94.1,18,17,94.4,5,2,40.0,21,16,76.2,2,1,50.0,14,9,64.3,28,25,89.3,1,0,0.0,1,1,0,0.0,9,5,500.0,5,1,20.0,4,3,5,6,6,1,6,1,1,0
41,2023,K리그2,부산,강영웅,대기,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,2,66.7,0,2,2,0.0,0,0,0.0,1,0,0.0,1,1,100.0,0,0,0.0,2,1,50.0,0,0,0.0,1,1,100.0,2,1,50.0,0,0,0.0,0,0,0,0.0,1,0,0.0,1,0,0.0,0,0,1,1,0,0,0,1,0,0
42,2023,K리그2,부산,권혁규,대기,42,50,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0.0,17,13,76.5,0,10,6,0.0,1,1,100.0,6,6,100.0,3,3,100.0,5,4,80.0,9,6,66.7,1,0,0.0,5,3,60.0,11,10,90.9,0,0,0.0,0,0,0,0.0,3,1,0.0,2,1,50.0,2,2,3,4,1,0,2,0,0,0
43,2023,K리그2,부산,김동수,대기,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
44,2023,K리그2,부산,김상준,대기,33,176,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0.0,77,62,80.5,2,35,23,0.0,10,10,100.0,32,29,90.6,12,8,66.7,12,10,83.3,53,44,83.0,7,3,42.9,17,13,76.5,53,46,86.8,1,0,0.0,0,0,0,0.0,16,8,0.0,6,3,50.0,11,8,3,12,9,3,3,3,0,0
45,2023,K리그2,부산,김정환,대기,11,111,0,1,4,2,0,2,2,2,0,0,0,1,2,2,100.0,35,21,60.0,2,9,1,0.0,15,12,80.0,11,8,72.7,15,8,53.3,4,2,50.0,16,11,68.8,3,2,66.7,12,7,58.3,20,12,60.0,3,0,0.0,0,0,0,0.0,2,0,0.0,7,2,28.6,2,1,2,8,2,2,1,0,0,0
46,2023,K리그2,부산,김찬,대기,9,176,1,1,6,1,3,2,2,4,0,0,0,0,1,0,0.0,45,31,68.9,3,16,7,0.0,9,8,88.9,20,16,80.0,16,10,62.5,3,3,100.0,26,18,69.2,0,0,0.0,9,6,66.7,36,25,69.4,1,1,100.0,0,6,4,66.7,41,18,300.0,4,1,25.0,4,0,0,10,3,2,8,5,0,0
47,2023,K리그2,부산,라마스,대기,10,193,1,0,14,5,3,6,2,12,0,5,6,0,0,0,0.0,96,76,79.2,1,44,25,0.0,18,18,100.0,34,33,97.1,33,25,75.8,7,7,100.0,56,44,78.6,14,9,64.3,29,24,82.8,53,43,81.1,11,4,36.4,3,1,0,0.0,3,0,0.0,2,0,0.0,5,1,3,14,1,0,1,0,0,0
48,2023,K리그2,부산,민상기,대기,39,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,100.0,0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,100.0,0,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0.0,3,1,0,0,0,0,1,0,0,0
