,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
10,2023,하나원큐 K리그1,울산,김민혁,MF,22,1498,1,1,16,6,1,9,11,5,1,2,0,0,3,1,33.3,805,733,91.1,7,199,153,0.0,268,259,96.6,338,321,95.0,190,164,86.3,106,94,88.7,509,475,93.3,30,22,73.3,231,215,93.1,544,496,91.2,1,0,0.0,7,10,7,70.0,90,50,500.0,42,12,28.6,38,28,43,115,31,13,17,17,5,0
11,2023,하나원큐 K리그1,울산,김성준,MF,16,164,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,131,119,90.8,1,39,29,0.0,26,26,100.0,66,64,97.0,12,11,91.7,15,14,93.3,104,94,90.4,6,2,33.3,58,55,94.8,67,62,92.5,1,1,100.0,0,1,1,100.0,4,0,0.0,4,2,50.0,3,5,3,14,1,0,1,1,0,0
12,2023,하나원큐 K리그1,울산,김영권,MF,19,99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.0,49,36,73.5,0,21,10,0.0,3,3,100.0,25,23,92.0,3,3,100.0,23,16,69.6,23,17,73.9,7,2,28.6,24,19,79.2,18,15,83.3,0,0,0.0,0,5,3,60.0,0,0,0.0,4,1,25.0,3,3,4,3,2,0,1,2,0,0
13,2023,하나원큐 K리그1,울산,루빅손,MF,17,1226,5,2,21,10,3,8,19,2,4,0,0,7,13,3,23.1,348,274,78.7,7,92,47,0.0,166,156,94.0,90,71,78.9,171,131,76.6,45,33,73.3,132,110,83.3,10,6,60.0,97,82,84.5,241,186,77.2,29,7,24.1,0,12,6,50.0,69,30,250.0,36,9,25.0,25,25,14,68,31,11,20,5,1,0
14,2023,하나원큐 K리그1,울산,바코,MF,10,1585,8,1,46,22,13,11,27,19,2,2,1,4,16,4,25.0,741,659,88.9,23,189,137,0.0,263,253,96.2,289,269,93.1,326,279,85.6,33,26,78.8,382,354,92.7,25,20,80.0,173,155,89.6,543,484,89.1,25,9,36.0,15,30,15,50.0,30,8,26.7,39,17,43.6,7,26,13,102,15,15,6,21,0,0
15,2023,하나원큐 K리그1,울산,박용우,MF,6,1398,0,2,6,0,1,5,3,3,0,24,0,3,2,0,0.0,"1,263","1,116",88.4,5,460,343,0.0,243,236,97.1,560,537,95.9,166,146,88.0,215,173,80.5,882,797,90.4,113,77,68.1,427,392,91.8,723,647,89.5,8,2,25.0,7,11,7,63.6,98,60,545.5,39,20,51.3,71,77,28,128,34,11,21,19,3,0
16,2023,하나원큐 K리그1,울산,보야니치,MF,8,309,0,1,4,1,1,2,2,2,0,10,14,0,1,1,100.0,332,306,92.2,7,93,72,0.0,97,97,100.0,142,137,96.5,81,71,87.7,32,27,84.4,219,208,95.0,23,20,87.0,95,87,91.6,214,199,93.0,15,1,6.7,0,2,0,0.0,6,1,50.0,14,7,50.0,3,10,12,24,6,2,4,4,0,0
17,2023,하나원큐 K리그1,울산,아타루,MF,31,550,1,1,9,5,0,4,4,5,1,1,4,0,1,0,0.0,230,167,72.6,4,103,57,0.0,58,51,87.9,69,59,85.5,88,60,68.2,15,11,73.3,127,96,75.6,10,2,20.0,64,49,76.6,156,116,74.4,14,3,21.4,4,3,1,33.3,19,9,300.0,15,6,40.0,4,10,7,32,5,2,6,4,0,0
18,2023,하나원큐 K리그1,울산,엄원상,MF,11,753,1,2,12,6,0,6,12,0,4,1,0,2,8,2,25.0,201,158,78.6,8,62,38,0.0,83,75,90.4,56,45,80.4,123,104,84.6,9,4,44.4,69,50,72.5,4,2,50.0,38,26,68.4,159,130,81.8,22,2,9.1,2,4,1,25.0,29,8,200.0,22,1,4.5,4,3,6,30,11,7,1,7,0,0
19,2023,하나원큐 K리그1,울산,윤일록,MF,7,48,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0.0,23,22,95.7,0,3,3,0.0,13,12,92.3,7,7,100.0,5,5,100.0,4,4,100.0,14,13,92.9,0,0,0.0,5,5,100.0,18,17,94.4,1,0,0.0,0,1,1,100.0,2,0,0.0,1,1,100.0,2,3,0,3,2,0,0,0,0,0
20,2023,하나원큐 K리그1,울산,이규성,MF,24,1903,0,2,10,1,2,7,1,9,0,44,29,8,9,5,55.6,"1,585","1,428",90.1,19,606,477,0.0,347,340,98.0,632,611,96.7,355,305,85.9,227,201,88.5,"1,003",922,91.9,100,72,72.0,469,412,87.8,"1,016",944,92.9,51,16,31.4,10,4,1,25.0,8,1,25.0,56,13,23.2,13,61,30,140,29,8,20,16,3,0
21,2023,하나원큐 K리그1,울산,이동경,MF,14,412,2,1,15,8,0,7,3,12,0,8,14,1,2,2,100.0,154,134,87.0,3,50,40,0.0,52,50,96.2,52,44,84.6,46,37,80.4,18,14,77.8,90,83,92.2,13,11,84.6,48,40,83.3,93,83,89.2,26,5,19.2,2,4,3,75.0,3,0,0.0,14,5,35.7,0,6,11,14,8,2,4,1,0,0
22,2023,하나원큐 K리그1,울산,이청용,MF,27,177,0,0,2,0,0,2,2,0,0,4,4,1,2,0,0.0,128,111,86.7,2,45,33,0.0,34,34,100.0,49,44,89.8,53,46,86.8,10,10,100.0,65,55,84.6,1,1,100.0,33,27,81.8,94,83,88.3,11,3,27.3,0,1,1,100.0,1,1,100.0,4,2,50.0,0,2,3,14,6,3,1,2,0,0
23,2023,하나원큐 K리그1,울산,장시영,MF,3,110,0,0,2,1,0,1,1,1,0,0,0,0,2,2,100.0,29,24,82.8,0,4,3,0.0,18,16,88.9,7,5,71.4,19,16,84.2,2,2,100.0,8,6,75.0,1,0,0.0,1,1,100.0,27,23,85.2,1,0,0.0,1,1,0,0.0,3,1,100.0,2,0,0.0,1,2,5,6,5,3,5,3,2,0
24,2023,하나원큐 K리그1,울산,조현택,MF,26,144,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,25,16,64.0,0,14,7,0.0,7,6,85.7,4,3,75.0,13,9,69.2,1,0,0.0,11,7,63.6,2,0,0.0,5,3,60.0,18,13,72.2,2,0,0.0,0,4,0,0.0,2,2,50.0,3,0,0.0,0,1,5,11,5,1,5,1,0,0
25,2023,하나원큐 K리그1,울산,황재환,MF,29,265,2,0,2,2,0,0,2,0,0,0,0,0,3,1,33.3,73,57,78.1,2,11,4,0.0,39,33,84.6,23,20,87.0,26,20,76.9,8,8,100.0,39,29,74.4,0,0,0.0,15,11,73.3,58,46,79.3,3,0,0.0,0,2,0,0.0,7,1,50.0,11,3,27.3,0,4,4,13,4,4,5,0,0,0
26,2023,하나원큐 K리그1,울산,김지현,FW,96,111,0,0,4,2,1,1,2,2,0,0,0,0,1,0,0.0,31,23,74.2,0,4,1,0.0,19,16,84.2,8,6,75.0,10,7,70.0,0,0,0.0,21,16,76.2,1,1,100.0,4,4,100.0,26,18,69.2,1,0,0.0,0,2,1,50.0,12,5,250.0,3,0,0.0,0,0,1,8,1,1,1,0,0,0
27,2023,하나원큐 K리그1,울산,마틴아담,FW,9,897,4,3,23,9,2,12,18,5,0,1,0,2,1,1,100.0,197,139,70.6,12,59,30,0.0,67,55,82.1,71,54,76.1,89,67,75.3,6,5,83.3,102,67,65.7,4,2,50.0,33,23,69.7,160,114,71.2,0,0,0.0,3,26,14,53.8,97,47,180.8,5,2,40.0,13,4,3,24,7,11,15,9,2,0
28,2023,하나원큐 K리그1,울산,주민규,FW,18,1855,13,1,49,24,7,18,44,5,19,0,0,0,2,1,50.0,325,245,75.4,11,86,39,0.0,139,128,92.1,100,78,78.0,136,101,74.3,10,8,80.0,179,136,76.0,12,7,58.3,56,42,75.0,257,196,76.3,2,0,0.0,5,62,35,56.5,151,52,83.9,15,0,0.0,9,6,5,61,8,17,21,34,4,0
