,년도,리그,소속,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효슈팅,차단된슈팅,벗어난슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블시도,드리블성공,드리블성공%,패스시도,패스성공,패스성공%,키패스,전방패스시도,전방패스성공,전방패스성공%,후방패스시도,후방패스성공,후방패스성공%,횡패스시도,횡패스성공,횡패스성공%,공격지역패스시도,공격지역패스성공,공격지역패스성공%,수비지역패스시도,수비지역패스성공,수비지역패스성공%,중앙지역패스시도,중앙지역패스성공,중앙지역패스성공%,롱패스시도,롱패스성공,롱패스성공%,중거리패스시도,중거리패스성공,중거리패스성공%,숏패스시도,숏패스성공,숏패스성공%,크로스시도,크로스성공,크로스성공%,탈압박,지상경합시도,지상경합성공,지상경합성공%,공중경합시도,공중경합성공,공중경합성공%,태클시도,태클성공,태클성공%,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
38,2021,K리그1,수원,권창훈,대기,22,225,0,0,7,4,1,2,6,1,0,1,4,2,5,2,40.0,112,91,81.2,4,37,29,0.0,26,25,96.2,49,37,75.5,53,41,77.4,4,4,100.0,55,46,83.6,12,9,75.0,31,25,80.6,69,57,82.6,7,2,28.6,0,30,17,56.7,15,6,20.0,0,0,0.0,1,1,7,16,1,5,2,7,0,0
39,2021,K리그1,수원,김건희,대기,9,371,2,0,11,4,3,4,8,3,1,0,0,0,4,2,50.0,107,67,62.6,1,28,13,0.0,36,27,75.0,43,27,62.8,44,23,52.3,7,4,57.1,56,40,71.4,5,4,80.0,20,10,50.0,82,53,64.6,7,0,0.0,0,27,12,44.4,42,23,85.2,3,0,0.0,8,3,4,13,1,4,6,13,2,0
40,2021,K리그1,수원,김민우,대기,10,49,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,14,10,71.4,3,6,4,0.0,2,2,100.0,6,4,66.7,8,5,62.5,3,2,66.7,3,3,100.0,0,0,0.0,6,5,83.3,8,5,62.5,1,0,0.0,0,6,3,50.0,2,1,16.7,1,1,100.0,0,0,2,6,1,0,2,0,0,0
41,2021,K리그1,수원,김상준,대기,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,6,66.7,0,5,2,0.0,1,1,100.0,3,3,100.0,1,1,100.0,1,0,0.0,7,5,71.4,0,0,0.0,4,2,50.0,5,4,80.0,0,0,0.0,0,3,2,66.7,1,1,33.3,0,0,0.0,0,0,3,2,0,0,1,0,0,0
42,2021,K리그1,수원,김태환,대기,18,19,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0,5,5,100.0,1,0,0,0.0,2,2,100.0,3,3,100.0,3,3,100.0,2,2,100.0,0,0,0.0,0,0,0.0,1,1,100.0,4,4,100.0,0,0,0.0,0,3,0,0.0,2,1,33.3,0,0,0.0,0,0,0,3,0,0,0,1,0,0
43,2021,K리그1,수원,노동건,대기,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
44,2021,K리그1,수원,니콜라오,대기,27,466,0,0,14,4,3,7,9,5,5,0,0,0,9,4,44.4,165,119,72.1,8,50,26,0.0,59,51,86.4,56,42,75.0,90,56,62.2,9,8,88.9,66,55,83.3,5,5,100.0,31,20,64.5,129,94,72.9,6,2,33.3,1,54,21,38.9,59,31,57.4,0,0,0.0,1,3,4,17,0,7,8,10,0,0
45,2021,K리그1,수원,박대원,대기,33,106,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,58,52,89.7,0,26,21,0.0,6,6,100.0,26,25,96.2,7,5,71.4,13,10,76.9,38,37,97.4,11,6,54.5,25,24,96.0,22,22,100.0,0,0,0.0,0,3,1,33.3,9,3,100.0,0,0,0.0,1,2,7,7,0,0,4,1,1,0
46,2021,K리그1,수원,박지민,대기,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
47,2021,K리그1,수원,박형진,대기,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,7,77.8,0,0,0,0.0,4,4,100.0,5,3,60.0,7,5,71.4,0,0,0.0,2,2,100.0,1,1,100.0,3,1,33.3,5,5,100.0,3,1,33.3,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
48,2021,K리그1,수원,손호준,대기,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
49,2021,K리그1,수원,안찬기,대기,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
